team_id,team_name,name,games_played,position_rank,average_points,total_points,receptions,rec_yards,rec_TD,avg_receptions,rec_yards_per_game,rush_yards,rush_yds_per_game,rush_TD,total_TD
15,49ers,Tevin Coleman,7,118,1.81,12.7,4,34,0,0.6,4.9,53,7.6,0,0
3,Eagles,Boston Scott,15,52,5.71,85.7,23,198,1,1.5,13.2,309,20.6,1,2
24,Steelers,Benny Snell,15,61,4.93,73.9,10,61,0,0.7,4.1,358,23.9,4,4
2,Giants,Devontae Booker,15,56,5.61,84.1,17,84,0,1.1,5.6,407,27.1,3,3
28,Titans,Brian Hill,15,59,5.25,78.8,22,157,0,1.5,10.5,371,24.7,1,1
3,Eagles,Kerryon Johnson,15,62,4.79,71.8,19,197,1,1.3,12.5,181,12.1,2,3
7,Colts,Jordan Wilkins,15,64,4.09,61.3,12,105,0,0.8,7,308,20.5,1,1
12,Bucs,Ronald Jones,13,21,13.27,172.5,28,165,1,2.2,12.7,900,69.2,6,7
24,Steelers,Najee Harris,0,0,15.33,245.2,50,378,2,3.1,23.6,1054,65.9,7,9
28,Broncos,Javonte Williams,0,0,10.85,173.7,29,217,1,1.8,13.6,898,56.1,5,6
27,Jaguars,Travis Etienne,0,0,12.48,199.6,56,447,2,3.5,27.9,654,40.9,4,6
15,49ers,Trey Sermon,0,0,7.39,118.3,19,150,1,1.2,9.4,561,35.1,4,5
20,Jets,Michael Carter,0,0,8.7,139.2,29,221,1,1.8,13.8,608,38,4,5
